datum,uur,voorstelling,gezelschap,link,zaal,stad,type,tickets,status
2025-10-03,,WIER,Laika,https://www.laika.be/NL/wier,BLOK BLOC,Antwerpen,tickets,https://cid.recreatex.be/Tickets/Detail.aspx?language=NL&smallmenu=1&code=CID-STA-20251003A,ok
2025-10-04,14u en 17u,WIER,Laika,https://www.laika.be/NL/wier,BLOK BLOC,Antwerpen,tickets,https://cid.recreatex.be/Tickets/Detail.aspx?language=NL&smallmenu=1&code=CID-STA-20251004B,ok
2025-10-05,14u30 en 17u,WIER,Laika,https://www.laika.be/NL/wier,BLOK BLOC,Antwerpen,tickets,https://cid.recreatex.be/Tickets/Detail.aspx?language=NL&smallmenu=1&code=CID-STA-20251005A,ok
2025-10-07,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,De Studio,Antwerpen,school,,ok
2025-10-15,,WIER,Laika,https://www.laika.be/NL/wier,Het Speelhuis,Helmond (NL),tickets,https://theaterspeelhuis.nl/programma/wier-8-13084,ok
2025-10-18,,WIER,Laika,https://www.laika.be/NL/wier,De Blauwe Kei,Veghel (NL),tickets,https://www.blauwekei.nl/agenda/laika-n8gd,ok
2025-10-19,13u30 en 16u,WIER,Laika,https://www.laika.be/NL/wier,De Betovering,Den Haag (NL),tickets,https://www.hnt.nl/nl/voorstellingen/wier-6-lbc3,ok
2025-10-22,14u30 en 17u,WIER,Laika,https://www.laika.be/NL/wier,De Krakeling,Amsterdam (NL),tickets,https://krakeling.nl/programma/wier,ok
2025-11-03,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,school,,ok
2025-11-04,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,school,,ok
2025-11-05,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,premiere,https://www.30cc.be/nl/programma/item/skin-in-the-game-2025-2026,ok
2025-11-06,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2025-2026,ok
2025-11-07,,DEVICKY.,Meurman & de Rudy,https://www.meurmanenderudy.com/devicky-wax-the-pain-away,cc De Ploter,Ternat,tickets,https://www.ccdeploter.be/meurman-de-rudy,ok
2025-11-08,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2025-2026,ok
2025-11-10,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK,Leuven,school,,ok
2025-11-13,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,De Studio,Antwerpen,tickets,https://www.destudio.com/nl/project/skin-game,ok
2025-11-14,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,De Studio,Antwerpen,tickets,https://www.destudio.com/nl/project/skin-game,ok
2025-11-24,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,co Nova,Antwerpen,school,,ok
2025-12-08,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Ter Vesten,Beveren,school,,ok
2025-12-09,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Ter Vesten,Beveren,school,,ok
2025-12-10,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Ter Vesten,Beveren,school,,ok
2025-12-11,,DEVICKY.,Meurman & de Rudy,https://www.meurmanenderudy.com/devicky-wax-the-pain-away,Het Bolwerk,Vilvoorde,tickets,https://www.hetbolwerk.be/programma/podium/meurman-de-rudy-daphne-agten-sofie-joan-wouters-ea-devicky-wax-pain-away,ok
2025-12-14,,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,tickets,https://www.destudio.com/nl/project/wier,ok
2025-12-20,,BLIK SOEP,Hirngespinst / OOGST,http://hirngespinst.be/blik-soep/,Cultuurhuis,Merelbeke,doorlopend,,ok
2025-12-21,,BLIK SOEP,Hirngespinst / OOGST,http://hirngespinst.be/blik-soep/,Cultuurhuis,Merelbeke,doorlopend,,ok
2026-01-05,2x,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2026-01-06,2x,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2026-01-07,2x,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2026-01-08,2x,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2026-01-11,,WIER,Laika,https://www.laika.be/NL/wier,De Velinx,Tongeren,tickets,https://develinx.be/evenement/laika-sien-vanmaele-1,ok
2026-01-12,,WIER,Laika,https://www.laika.be/NL/wier,De Velinx,Tongeren,school,,ok
2026-01-18,14u en 17u,WIER,Laika,https://www.laika.be/NL/wier,cc De Brouckere,Torhout,tickets,https://www.ccdebrouckere.be/wier,ok
2026-01-19,,WIER,Laika,https://www.laika.be/NL/wier,cc De Brouckere,Torhout,school,,ok
2026-01-20,,WIER,Laika,https://www.laika.be/NL/wier,cc De Brouckere,Torhout,school,,ok
2026-01-22,,WIER,Laika,https://www.laika.be/NL/wier,Cultuurhuis,Brasschaat,school,,ok
2026-01-25,11u en 16u,WIER,Laika,https://www.laika.be/NL/wier,cc Gildhof,Tielt,tickets,https://www.gildhof.be/activiteiten/detail/1128/wier,ok
2026-01-26,,WIER,Laika,https://www.laika.be/NL/wier,cc Gildhof,Tielt,school,,ok
2026-01-28,,WIER,Laika,https://www.laika.be/NL/wier,Cultuurhuis,Brasschaat,tickets,https://www.brasschaat.be/laika-wier,ok
2026-01-29,2x,WIER,Laika,https://www.laika.be/NL/wier,Cultuurhuis,Brasschaat,school,,ok
2026-01-30,2x,WIER,Laika,https://www.laika.be/NL/wier,Cultuurhuis,Brasschaat,school,,ok
2026-01-31,16u en 19u,WIER,Laika,https://www.laika.be/NL/wier,Parktheater,Eindhoven (NL),tickets,https://www.parktheater.nl/programma/wier-qpw5,ok
2026-02-05,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc De Plomblom,Ninove,school,,ok
2026-02-08,15u,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Ghybe,Poperinge,tickets,https://www.poperinge.be/activiteiten/detail/8061/theater-froefroe-celine-timmerman-bobbety-8,ok
2026-02-09,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc Ter Vesten,Beveren,school,,ok
2026-02-10,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc Ter Vesten,Beveren,school,,ok
2026-02-11,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc Ter Vesten,Beveren,school,,ok
2026-02-26,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,Stadsschouwburg,Sint-Niklaas,school,,ok
2026-02-27,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,Stadsschouwburg,Sint-Niklaas,tickets,https://ticketshop.ticketmatic.com/cc_sintniklaas/2025-2026,ok
2026-02-28,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc De Meent,Alsemberg,tickets,https://www.demeent.be/skin-the-game,ok
2026-03-04,,grensgevallen,O Kontreir,https://www.okontreir.be/grensgevallen/,Leiepoort,Deinze,school,,ok
2026-03-05,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,cc Ieper,Ieper,school,,ok
2026-03-05,,DEVICKY.,Meurman & de Rudy,https://www.meurmanenderudy.com/devicky-wax-the-pain-away,Casino,Houthalen-Helchteren,tickets,https://casino.houthalen-helchteren.be/activiteiten/detail/5235/meurman-de-rudy-devicky-wax-the-pain-away,ok
2026-03-12,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Witte Merel,Ekeren,school,,ok
2026-03-13,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Ark,Antwerpen,school,,ok
2026-03-16,,grensgevallen,O Kontreir,https://www.okontreir.be/grensgevallen/,GO,Etterbeek,school,,ok
2026-03-17,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Sint Maria,Antwerpen,school,,ok
2026-03-18,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,'t Spoor,Antwerpen,school,,ok
2026-03-19,2x,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,De Studio,Antwerpen,school,,ok
2026-03-20,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Afrit Zuid,Antwerpen,school,,ok
2026-03-23,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Villa Stuivenberg,Antwerpen,school,,ok
2026-03-24,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Vlinders,Antwerpen,school,,ok
2026-03-26,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Sint Norbertus,Antwerpen,school,,ok
2026-03-31,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Veltwijck,Ekeren,school,,ok
2026-09-06,,WIER,Laika,https://www.laika.be/NL/wier,"Fortbom, Fort 4",Mortsel,tickets,,ok
2026-09-23,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,CLUB,Mortsel,premiere,https://www.mortsel.be/activiteiten/detail/6961/premiere-deburen-4-hirngespinst,ok
2026-09-24,10:30 en 14:00,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,CC Nova,Wetteren,school,,ok
2026-09-29,10:30 en 13:30,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,CC Het Gasthuis,Aarschot,school,,ok
2026-10-02,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,Cultuurhuis Tessenderlo-Ham,Tessenderlo,tickets,https://www.fabuleus.be/skin-in-the-game,ok
2026-10-04,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Krakeling,Amsterdam (NL),tickets,https://krakeling.nl/programma/deburen,ok
2026-10-15,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,c o r s o,Berchem,premiere,https://www.corso.be/nl/event/prijsbeest-home-is-where-the-hurt-is,ok
2026-10-16,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,GC De Kluize,Oosterzele,tickets,https://www.fabuleus.be/skin-in-the-game,ok
2026-10-18,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,MAAS Theater en Dans,Rotterdam (NL),tickets,https://www.maastd.nl/nl/agenda/de-buren/,ok
2026-10-19,10:00 en 14:00,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,SN!K,Sint-Niklaas,school,,ok
2026-10-20,10:00 en 14:00,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,SN!K,Sint-Niklaas,school,,ok
2026-10-21,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,BICC,Peer,school,,ok
2026-10-23,10:00 en 13:30,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,theater arsenaal,Mechelen,school,,ok
2026-10-25,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,c o r s o,Berchem,tickets,https://www.corso.be/nl/event/deburen-4,ok
2026-10-26,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,c o r s o,Berchem,school,,ok
2026-10-27,10:00 en 13:45,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,CC De Werf,Aalst,school,,ok
2026-10-29,10:00 en 13:30,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,Westrand Cultuurcentrum,Dilbeek,school,,ok
2026-10-30,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,hetpaleis,Antwerpen,school,,ok
2026-10-31,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,hetpaleis,Antwerpen,tickets,https://www.hetpaleis.be/nl/event/deburen?type=public,ok
2026-11-01,13u en 15u30,WIER,Laika,https://www.laika.be/NL/wier,Stadsschouwburg,Utrecht (NL),tickets,https://stadsschouwburg-utrecht.nl/agenda/seizoen-2026-2027/wier-8-laika,ok
2026-11-13,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,CCHA,Hasselt,tickets,https://www.meurmanenderudy.com/kalender,ok
2026-11-14,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,ARCA,Gent,tickets,https://www.arcatheater.be/evenement/meurman-de-rudy-prijsbeest/,ok
2026-11-16,10:00 en 13:45,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,CC Lokeren,Lokeren,school,,ok
2026-11-17,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Grote Post,Oostende,school,,ok
2026-11-18,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,De Grote Post,Oostende,school,,ok
2026-11-19,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,school,,ok
2026-11-19,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2026-2027,ok
2026-11-20,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,school,,ok
2026-11-20,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2026-2027,ok
2026-11-23,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,CLUB,Mortsel,school,,ok
2026-11-24,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,CLUB,Mortsel,school,,ok
2026-11-26,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Ins Blau,Leiden (NL),tickets,https://www.visitleiden.nl/nl/agenda/174342931/prijsbeest-home-is-where-the-hurt-is,ok
2026-12-01,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,BRONKS,Brussel,school,,ok
2026-12-02,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,De Nieuwe Vorst,Tilburg (NL),tickets,https://denieuwevorst.nl/programma/prijsbeest,ok
2026-12-07,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-08,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-09,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-10,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Oude Badhuis,Antwerpen,tickets,https://www.meurmanenderudy.com/kalender,ok
2026-12-17,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Schoolpodium West,Brussel,school,,ok
